personagem,tipo,url,descricao,habilidades,img_url
Chimera Ant Queen,Chimera Ants,https://hunterxhunter.fandom.com/wiki/Chimera_Ant_Queen,O tamanho da rainha Chimera Ant é maior que o normal e pode ser explicado por mutação ou por possuir material genético humano. Não se sabe como ela chegou em um arquipélago habitado por humanos ou como se feriu.,"['Meruem', 'formiga quimera', 'Família real', 'Membros', 'guarda Real', 'Membros', 'Exército', 'Líderes de Esquadrão', 'Oficiais', 'Soldados (peões e escravos)']",https://static.wikia.nocookie.net/hunterxhunter/images/1/18/Chimera_Ant_Queen_eating_fish.png/revision/latest?cb=20130426022729
Meruem,Chimera Ants,https://hunterxhunter.fandom.com/wiki/Meruem,"Meruem era um líder cruel e violento, que se considerava superior a todas as outras formas de vida. Ele matava e devorava outros Chimera Ants que considerava desrespeitosos e via os humanos apenas como fonte de alimento, chegando a devorar uma criança logo após seu nascimento. Ele não tinha empatia pelos humanos e mostrava desrespeito até mesmo pela sua mãe moribunda.","['Força Insondável', 'Bodhisattva Guanyin Tipo 100', 'Velocidade e reflexos insondáveis', 'Bodhisattva Guanyin Tipo 100', 'Agilidade Insondável', 'resistência imensa', 'mão zero', 'Durabilidade insondável', 'mão zero', 'mão zero']",https://static.wikia.nocookie.net/hunterxhunter/images/7/71/91_-_Meruem%27s_cruel_nature.png/revision/latest?cb=20131008123029
Neferpitou,Chimera Ants,https://hunterxhunter.fandom.com/wiki/Neferpitou,"Neferpitou era muito leal ao Rei e se sacrificaria por ele. De todos os Três Guardas Reais, Pitou era o mais curioso e facilmente distraído, gostava de brincar e, segundo Shaiapouf, acabavam se divertindo demais. Pitou era uma Chimera Ant de gato e gostava de brincar com seus oponentes, como um gato brinca com sua presa. Apesar de seu comportamento alegre e brincalhão, Pitou também tinha uma personalidade cruel e aterrorizante. Pitou levava a sério sua obrigação de proteger o Rei e estava disposto a renunciar à chance de lutar contra oponentes fortes para cumprir sua missão.","['Visão imensa', 'Audição imensa', 'cheiro imenso', 'força imensa', 'Velocidade e reflexos imensos', 'Bodhisattva Guanyin Tipo 100', 'Agilidade imensa', 'resistência imensa', 'Durabilidade imensa', 'Bodhisattva Guanyin Tipo 100']",https://static.wikia.nocookie.net/hunterxhunter/images/8/8b/Neferpitou_hesitates.png/revision/latest?cb=20131204134759
Shaiapouf,Chimera Ants,https://hunterxhunter.fandom.com/wiki/Shaiapouf,"Shaiapouf, um dos três Guardas Reais, se apresentava como o mais calmo e racional, valorizando a lógica acima das emoções. Porém, sua devoção intensa ao Rei Chimera Ant obscurecia seu julgamento, fazendo com que ele tivesse um ideal absoluto e inflexível. Pouf também acreditava que o Rei deveria seguir esse ideal, resultando em monólogos fanáticos e ações traiçoeiras quando seu senhor parecia se desviar. Ele era visto frequentemente lendo livros e tocando violino, utilizando o instrumento para acalmar-se ou expressar emoções.","['Belzebu', 'Voo', 'Força Aprimorada', 'Mergulho do Dragão', 'velocidade imensa', 'Mergulho do Dragão', 'resistência imensa', 'Durabilidade imensa', 'Intelecto de Nível Gênio', 'mensagem espiritual']",https://static.wikia.nocookie.net/hunterxhunter/images/2/21/Pouf_plays_the_violin.png/revision/latest?cb=20131004134226
Menthuthuyoupi,Chimera Ants,https://hunterxhunter.fandom.com/wiki/Menthuthuyoupi,"Menthuthuyoupi era a Guarda Real mais simples e sem ego, sem traços genéticos humanos e totalmente dedicado ao Rei. Sua simplicidade o tornava um bom soldado, mas também o fazia ser volátil e confuso diante das excentricidades dos outros guardas.","['Hakoware', 'Hakoware', 'Força Insondável', 'Velocidade e reflexos aprimorados', 'Durabilidade imensa', 'Intelecto Aguçado', 'Vínculo empático', 'pensar', 'décimo', 'profundo...']",https://static.wikia.nocookie.net/hunterxhunter/images/b/b7/108_-_Youpi%27s_reaction_to_Pouf.png/revision/latest?cb=20150722125419
Meleoron,Chimera Ants,https://hunterxhunter.fandom.com/wiki/Meleoron,"O personagem é uma quimera que é excêntrica por não gostar de lutar ou matar. Ele fala de forma teatral e finge não estar interessado em certos assuntos, mas na verdade está muito interessado neles. Ele também é perspicaz e entende as emoções dos outros, como quando percebeu a tristeza de Killua durante a Invasão do Palácio.","['Camaleão Fisiologia', 'Velocidade Avançada', 'Resistência Avançada', 'Especialista em Furtividade', 'cúmplice de Deus', 'Plano Perfeito', 'Plano Perfeito', 'cúmplice de Deus', 'Meruem', 'real']",https://static.wikia.nocookie.net/hunterxhunter/images/3/39/Meleoron_anime.png/revision/latest?cb=20130505040422
Ikalgo,Chimera Ants,https://hunterxhunter.fandom.com/wiki/Ikalgo,"Ikalgo é um observador detalhista que costuma planejar suas estratégias antes de lutar contra um inimigo. Ele tem um forte senso de honra e prefere morrer a trair um companheiro. Ele desenvolveu um forte vínculo com os membros da Equipe de Extermínio e Killua, principalmente por causa do apoio que ele recebeu de Killua, que o fez sentir-se validado e secure. Ikalgo tem um complexo de inferioridade em relação a sua aparência, pois deseja ter sido nasido como uma lula ""legal"", ao invés de um polvo ""feio"". Ele acha tocante que alguém chame-o, um polvo, de ""legal"" e, portanto, a traição não é uma opção para ele.","['Mergulho do Dragão', 'Fisiologia do Polvo', 'Força Avançada', 'Estrategista Proficiente', 'Mestre Atirador', 'motorista habilidoso', 'Fleadom', 'Living Dead Dolls (死体と遊ぶな子供たち, Não brinque com cadáveres de crianças)', 'Super Olho', 'Super Olho']",https://static.wikia.nocookie.net/hunterxhunter/images/e/ea/Ikalgo%27s_resolve_to_never_betray.png/revision/latest?cb=20131023071431
Leol,Chimera Ants,https://hunterxhunter.fandom.com/wiki/Leol,"Pouco se sabe sobre o passado de Leol, exceto que ele se lembrava de sua vida passada como leão. Ele era um dos líderes do esquadrão da Rainha e mantinha humanos para si mesmo, mas deixou a colônia de formigas Chimera após a morte da Rainha para tentar criar seu próprio reino. Não se sabe se ele se lembrava de sua vida como humano.","['Força Aprimorada', 'Intelecto Aguçado', 'Inamura', 'Satellitonbo', 'Super Olho', 'tornado', 'Grande parede', 'Inamura', 'Inamura', 'Morel Mackernasey']",https://static.wikia.nocookie.net/hunterxhunter/images/a/a2/84_-_Leol%2C_Flutter_and_Hina_introduction.png/revision/latest?cb=20150801141259
Zazan,Chimera Ants,https://hunterxhunter.fandom.com/wiki/Zazan,Zazan aparece.,"['ferrão venenoso', 'Força Aprimorada', 'Velocidade e reflexos aprimorados', 'Durabilidade aprimorada', 'Combate corpo-a-corpo proficiente', 'Sol Nascente', 'Feitan Portor', 'formiga quimera', 'Família real', 'Membros']",https://static.wikia.nocookie.net/hunterxhunter/images/8/88/Zazan_1.png/revision/latest?cb=20140211004249
Cheadle Yorkshire,The Zodiacs,https://hunterxhunter.fandom.com/wiki/Cheadle_Yorkshire,Cheadle é o líder da facção pró-Netero na Associação de Caçadores.,"['Percepção Sobrenatural', 'Intelecto de Nível Gênio', 'ele', 'gosta', 'Leorio', 'abominável!!', 'inteiro', 'zodíacos', 'Membros', 'Ativo']",https://static.wikia.nocookie.net/hunterxhunter/images/d/d8/Zodiac_Twelve_angry.png/revision/latest?cb=20140722155515
Botobai Gigante,The Zodiacs,https://hunterxhunter.fandom.com/wiki/Botobai_Gigante,A reação dos Zodiacs à proposta de Pariston.,"['zodíacos', 'Membros', 'Ativo', 'Antigo', 'Divisões', 'Biologia', 'Defesa', 'Ciência', 'Inteligência', 'Associação de Caçadores']",https://static.wikia.nocookie.net/hunterxhunter/images/d/d8/Zodiac_Twelve_angry.png/revision/latest?cb=20140722155515
Mizaistom Nana,The Zodiacs,https://hunterxhunter.fandom.com/wiki/Mizaistom_Nana,Mizaistom está furioso com a proposta de Pariston.,"['Alta Inteligência', 'Mizaistom', 'zodíacos', 'Membros', 'Ativo', 'Antigo', 'Divisões', 'Biologia', 'Defesa', 'Ciência']",https://static.wikia.nocookie.net/hunterxhunter/images/0/01/Angry_Zodiacs_2_-137.png/revision/latest?cb=20140722095741
Gel,The Zodiacs,https://hunterxhunter.fandom.com/wiki/Gel,Gel com os outros signos do zodíaco.,"['Geru', 'Gel', 'zodíacos', 'Membros', 'Ativo', 'Antigo', 'Divisões', 'Biologia', 'Defesa', 'Ciência']",https://static.wikia.nocookie.net/hunterxhunter/images/b/ba/All_Zodiacs_present_for_the_election_meeting.png/revision/latest?cb=20140709100701
Saiyu,The Zodiacs,https://hunterxhunter.fandom.com/wiki/Saiyu,"O texto não foi fornecido. Por favor, informe o texto para que possa ser resumido.","['zodíacos', 'Membros', 'Ativo', 'Antigo', 'Divisões', 'Biologia', 'Defesa', 'Ciência', 'Inteligência', 'Associação de Caçadores']",https://static.wikia.nocookie.net/hunterxhunter/images/d/d8/Zodiac_Twelve_angry.png/revision/latest?cb=20140722155515
Kanzai,The Zodiacs,https://hunterxhunter.fandom.com/wiki/Kanzai,Chegada dos Zodiacs.,"['você é', 'zodíacos', 'Membros', 'Ativo', 'Antigo', 'Divisões', 'Biologia', 'Defesa', 'Ciência', 'Inteligência']",https://static.wikia.nocookie.net/hunterxhunter/images/d/db/The_Zodiacs.png/revision/latest?cb=20221108191519
Ginta,The Zodiacs,https://hunterxhunter.fandom.com/wiki/Ginta,Ginta está com raiva de Pariston.,"['zodíacos', 'Membros', 'Ativo', 'Antigo', 'Divisões', 'Biologia', 'Defesa', 'Ciência', 'Inteligência', 'Associação de Caçadores']",https://static.wikia.nocookie.net/hunterxhunter/images/a/a4/Angry_Zodiacs_-_137.png/revision/latest?cb=20140722095716
Saccho Kobayakawa,The Zodiacs,https://hunterxhunter.fandom.com/wiki/Saccho_Kobayakawa,O texto trata sobre os signos do zodíaco que são hostis em relação a Pariston.,"['Satcho', 'zodíacos', 'Membros', 'Ativo', 'Antigo', 'Divisões', 'Biologia', 'Defesa', 'Ciência', 'Inteligência']",https://static.wikia.nocookie.net/hunterxhunter/images/d/d8/Zodiac_Twelve_angry.png/revision/latest?cb=20140722155515
Pyon,The Zodiacs,https://hunterxhunter.fandom.com/wiki/Pyon,Pyon está furioso com Pariston.,"['que?!', 'a coisa toda,', 'fazer', 'pião', 'Pyon', 'zodíacos', 'Membros', 'Ativo', 'Antigo', 'Divisões']",https://static.wikia.nocookie.net/hunterxhunter/images/0/01/Angry_Zodiacs_2_-137.png/revision/latest?cb=20140722095741
Nasubi Hui Guo Rou,Kakin Royal Family,https://hunterxhunter.fandom.com/wiki/Nasubi_Hui_Guo_Rou,"O texto fala sobre um pai que mantém o controle emocional mesmo após a morte de sua filha Momoze. Ele demonstra amor e cuidado pelos filhos, apesar de incentivar uma luta pela sucessão do trono. Para ele, esse conflito é necessário pelo bem-estar do povo e uma obrigação do futuro rei de Kakin. Ele acredita que Momoze se tornou a base da grande árvore de Kakin e continua a viver de forma vibrante.","['Continente Sombrio!!', 'Você', 'três', 'país!', 'sempre', 'Quem', 'depois', 'Família Real Kakina', 'Rei', 'rainhas']",https://static.wikia.nocookie.net/hunterxhunter/images/0/07/Chap_340_-_Nasubi%27s_appearance.png/revision/latest?cb=20150507144624
Tserriednich Hui Guo Rou,Kakin Royal Family,https://hunterxhunter.fandom.com/wiki/Tserriednich_Hui_Guo_Rou,"Tserriednich é um homem que parece refinado e inteligente, com interesses que vão desde futebol até filosofia. No entanto, ele é na verdade um sociopata cruel que coleciona partes de corpos humanos e mata pessoas jovens e bonitas para criar ""arte inspiradora"". Ele vê seus irmãos como escória e gosta da ideia de matá-los. Um de seus guardas afirma que Tserriednich é um mal puro e descontrolado e que não deve ser autorizado a dominar o Nen (técnica do mundo fictício em que a história se passa) porque ele a usará para o mal. Tserriednich já atirou em um colega de academia por causa de uma discussão durante um treinamento militar.","['dez segundos efêmeros', 'Besta Espiritual Guardiã de Tserriednich', 'dissecação', 'arte', 'futuro', 'divertido demais!!', 'dominar', 'e o mundo!!!', 'iPS', 'iPSCs']",https://static.wikia.nocookie.net/hunterxhunter/images/3/3b/Chap_348_-_Tserriednich_excited_to_kill.png/revision/latest?cb=20210828211726
Benjamin Hui Guo Rou,Kakin Royal Family,https://hunterxhunter.fandom.com/wiki/Benjamin_Hui_Guo_Rou,"O texto fala sobre as ambições do personagem Benjamin, que deseja não apenas o trono de Kakin, mas também a unificação do mundo sob o comando de Kakin. Ele não se importa em matar seus irmãos para manter a estrutura da família real. Existe uma animosidade entre Benjamin e Tserriednich, e Benjamin está determinado a matá-lo pessoalmente. Embora Tserriednich subestime a inteligência de Benjamin, Balsamilco acredita que ele é flexível e lógico quando recebe informações adequadas.","['Força Aprimorada', 'Culdcept', 'Culdcept', 'Benjamin, Balsamilco Might e Furykov', 'Família Real Kakina', 'Rei', 'rainhas', 'príncipes', 'Ancestrais']",https://static.wikia.nocookie.net/hunterxhunter/images/c/c8/Chap_348_-_Benjamin_crushes_throat.png/revision/latest?cb=20210828202727
Halkenburg Hui Guo Rou,Kakin Royal Family,https://hunterxhunter.fandom.com/wiki/Halkenburg_Hui_Guo_Rou,Halkenburg chora pela morte de Momoze.,"['Halkenburg e seus guarda-costas', 'Família Real Kakina', 'Rei', 'rainhas', 'príncipes', 'Ancestrais']",https://static.wikia.nocookie.net/hunterxhunter/images/7/7b/Chap_375_-_Halkenburg_cries.png/revision/latest?cb=20180223130241
Woble Hui Guo Rou,Kakin Royal Family,https://hunterxhunter.fandom.com/wiki/Woble_Hui_Guo_Rou,"Woble é um bebê que ainda não possui um caráter definido e é frequentemente vista dormindo. Ela demonstrou gostar e confiar em Kurapika, chegando a segurar a mão dele em algumas ocasiões.","['Família Real Kakina', 'Rei', 'rainhas', 'príncipes', 'Ancestrais']",https://static.wikia.nocookie.net/hunterxhunter/images/4/4b/Chap_369_-_Woble_reaches.png/revision/latest?cb=20170824134252
Oito Hui Guo Rou,Kakin Royal Family,https://hunterxhunter.fandom.com/wiki/Oito_Hui_Guo_Rou,"Oito vem de uma família empobrecida com sete membros, sendo ela a terceira filha entre os cinco irmãos. Ela relata que seu irmão mais velho costumava intimidá-la quando era criança.","['EU', 'tão estranho', 'Família Real Kakina', 'Rei', 'rainhas', 'príncipes', 'Ancestrais']",https://static.wikia.nocookie.net/hunterxhunter/images/9/9b/Chap_350_-_Oito_and_Woble.png/revision/latest?cb=20210828225923
Camilla Hui Guo Rou,Kakin Royal Family,https://hunterxhunter.fandom.com/wiki/Camilla_Hui_Guo_Rou,"Camila aparenta ter maneirismos elegantes e encantadores, mas assim como seu irmão mais velho, não tem problemas em eliminar seus irmãos de forma sadista. Ela prefere fazer isso de maneira fácil e sem coração, como ordenando que sua própria mãe assassine seu irmão mais novo. Segundo Shimano, Camila só ouve o Rei.","['Resistência Aprimorada', 'Atirador Proficiente', 'Camila', 'Benjamin Hui Guo Rou, Balsamilco Might e Furykov', 'não', 'voluntário', 'ordem!', 'ele...!', 'Família Real Kakina', 'Rei']",https://static.wikia.nocookie.net/hunterxhunter/images/7/75/Chap_373_-_Furykov_threatened_by_Camilla.png/revision/latest?cb=20221224202122
Kacho Hui Guo Rou,Kakin Royal Family,https://hunterxhunter.fandom.com/wiki/Kacho_Hui_Guo_Rou,"Kacho é uma personagem assustadora que tem uma personalidade superficial, mimada e detestável. Ela escolhe seus guarda-costas pela aparência, mas escolhe os feios. Ela é mostrada como sendo uma pessoa sem coração, que pretende formar uma aliança com Fugetsu para matar seus outros irmãos durante a Guerra de Sucessão. Ela promete a Fugetsu que, quando se tornar a nova governante, pedirá ao pai que poupe sua vida.","['Sem você', 'Sem você', 'Família Real Kakina', 'Rei', 'rainhas', 'príncipes', 'Ancestrais']",https://static.wikia.nocookie.net/hunterxhunter/images/4/4c/Chap_359_-_Kacho%27s_personality.png/revision/latest?cb=20161017075523
Tyson Hui Guo Rou,Kakin Royal Family,https://hunterxhunter.fandom.com/wiki/Tyson_Hui_Guo_Rou,"Tyson contrata Izunavi como seu guarda-costas pessoal durante a viagem para o Continente Negro. Ela participa da cerimônia na véspera do início da expedição e embarca no navio, pensando que poderia vencer a Guerra de Sucessão, enquanto ri consigo mesma. Em seguida, ela participa do evento formal com sua família e outros convidados importantes. Como o restante de sua família, ela reside no 1º deck do navio.","['Taithon', 'Família Real Kakina', 'Rei', 'rainhas', 'príncipes', 'Ancestrais']",https://static.wikia.nocookie.net/hunterxhunter/images/1/15/Chap_366_-_Tyson.png/revision/latest?cb=20170907125851
Neon Nostrade,Other Characters,https://hunterxhunter.fandom.com/wiki/Neon_Nostrade,"Neon é uma jovem mimada e egocêntrica que joga birra sempre que não consegue o que quer. Ela é mostrada como infantil e sem empatia pelos outros. No entanto, ela é capaz de demonstrar emoção quando se preocupa com Eliza, oferecendo a voltar para casa em vez de ficar em Yorknew. Sua falta de empatia e egoísmo são resultado da sua inocência infantil e falta de compreensão emocional, apesar de ter dezessete anos. Neon gosta de colecionar partes do corpo humano, razão pela qual a Família Nostrade viajou para Yorknew.","['Adorável Escritor Fantasma', 'Família Nostrade', 'Membros', 'guarda-costas', 'Líder', 'Ativo', 'Antigo', 'Funcionários', 'Membros']",https://static.wikia.nocookie.net/hunterxhunter/images/6/6e/42_-_Neon_tantrum.png/revision/latest?cb=20180930120929
Razor,Other Characters,https://hunterxhunter.fandom.com/wiki/Razor,Razor conversando com Ging.,"['Percepção Sobrenatural', 'força imensa', 'Pedra', 'Pedra', 'Velocidade e reflexos aprimorados', 'Intelecto Aguçado', 'Mestre Arremessador', 'Jogador de queimada magistral', 'Jogador de voleibol magistral', 'Pedra']",https://static.wikia.nocookie.net/hunterxhunter/images/2/2a/Ging_%26_Razor_In_The_Past.png/revision/latest?cb=20210414205909
Genthru,Other Characters,https://hunterxhunter.fandom.com/wiki/Genthru,Genthru é um personagem que gosta de matar e não tem compaixão pelas pessoas. Ele só se importa com seus companheiros Sub e Bara. Ele se voluntaria para rolar o dado arriscado e concorda em dar um cartão de cura em troca de outro para curar seu companheiro.,"['Força Aprimorada', 'Velocidade e reflexos aprimorados', 'Alta Inteligência', 'Combate corpo-a-corpo proficiente', 'Florzinha', 'Florzinha', 'Florzinha', 'Contagem regressiva', 'Florzinha', 'Florzinha']",https://static.wikia.nocookie.net/hunterxhunter/images/5/54/Nickes_Introducing_Gon_%26_Killua.png/revision/latest?cb=20130211191534
Komugi,Other Characters,https://hunterxhunter.fandom.com/wiki/Komugi,"O texto fala de Komugi, uma jogadora de Gungi que nasceu em uma família grande no país fictício Republic of East Gorteau. Ela ajudava a sustentar sua família jogando Gungi, e decidiu se tornar uma jogadora profissional, ameaçando se matar se perdesse. Ela criou um movimento muito popular chamado ""Kokoriko"", mas depois o anulou quando foi usado contra ela em um torneio. Isso fez com que o movimento desaparecesse dos livros e dos jogos gravados.","['Komugi', 'feliz']",https://static.wikia.nocookie.net/hunterxhunter/images/b/bc/103_-_Komugi_collapses.png/revision/latest?cb=20131106034834
Gyro,Other Characters,https://hunterxhunter.fandom.com/wiki/Gyro,"O texto fala sobre Gyro, que cresceu em um acampamento de construção e aprendeu a misturar concreto e colocar tijolos muito jovem. Seu pai, que era muito quieto e bêbado, impunha regras rigorosas e o punia facilmente. Gyro era forçado a ficar em sua cama no topo beliche e negado contato com o mundo exterior depois das 21h. Apesar do abuso constante, Gyro respeitava e admirava seu pai e acreditava que ele o amava. Isso se deve a duas razões: a primeira foi que seu pai cuidou dele depois que ele quase morreu de doença aos cinco anos, e a segunda foi que ele nunca o deixou.","['formiga quimera', 'Família real', 'Membros', 'guarda Real', 'Membros', 'Exército', 'Líderes de Esquadrão', 'Oficiais', 'Soldados (peões e escravos)', 'Classificação Desconhecida']",https://static.wikia.nocookie.net/hunterxhunter/images/d/d7/Gyro_beaten.png/revision/latest?cb=20130519132332
Beyond Netero,Other Characters,https://hunterxhunter.fandom.com/wiki/Beyond_Netero,Beyond está firmemente focado na exploração do Continente Negro e está disposto a enfrentar qualquer desafio para chegar lá. Ele também admite não saber sobre nenhum espião entre os Zodiacs.,"['Equipe de Expedição ao Continente Negro', 'Membros', 'Líder', 'Ativo', 'Antigo', 'Associados', 'Membros']",https://static.wikia.nocookie.net/hunterxhunter/images/9/98/Beyonds_expedition_team.png/revision/latest?cb=20171006032933
Pariston Hill,Other Characters,https://hunterxhunter.fandom.com/wiki/Pariston_Hill,"Pariston é um personagem imprevisível e similar a Netero e Ging Freecss. Ele gosta de se divertir e não se importa em ganhar ou perder. Sua personalidade alegre e sorrisos tornam difícil prever suas intenções. Ele gosta de destruir o que ama e tem uma rivalidade com Ging, que é atualmente a pessoa que ele mais odeia. Pariston gosta de punir aqueles que o prejudicam.","['Percepção Sobrenatural', 'Velocidade Aprimorada', 'Intelecto de Nível Gênio', 'Ging Freecs', 'eu mesmo', 'real.', 'nunca', 'deve', 'Equipe de Expedição ao Continente Negro', 'Membros']",https://static.wikia.nocookie.net/hunterxhunter/images/7/70/Pariston_-_139.png/revision/latest?cb=20140723162009
Theta,Other Characters,https://hunterxhunter.fandom.com/wiki/Theta,"Theta é uma pessoa sagaz e confiante em sua inteligência. Ela faz análises prudentes de cada opção em sua missão, ajudando sua equipe a evitar danos desnecessários. Durante seu trabalho, Theta mantém uma postura calma e profissional, mas também pode ser humorística e sarcástica com seus colegas. Mesmo servindo a Tserriednich e conhecendo seus traços mais nefastos, Theta não os aprova e planeja ensinar Nen a ele para conter seu potencial para o mal e, finalmente, matá-lo, mesmo que isso signifique sacrificar sua própria vida.","['sempre...', 'Empregados Kakin', 'exércitos privados', 'Benjamin', 'Camila', 'Zhang Lei', 'Tserriednich', 'Tubeppa', 'Luzurus', 'Halkenburg']",https://static.wikia.nocookie.net/hunterxhunter/images/3/3e/Salkov_%26_Theta.png/revision/latest?cb=20221113002242
Bill,Other Characters,https://hunterxhunter.fandom.com/wiki/Bill,"Bill passou no Exame de Caçador e se tornou membro da Equipe de Expedição de Beyond. Ele e seus colegas, Sayird e Kurton, foram selecionados para proteger o Príncipe Woble a bordo do Black Whale, com a expectativa de não participarem de grandes batalhas. Eles se inscreveram no site oficial do Império Kakin para a expedição, mas nunca encontraram a Rainha Oito Hui Guo Rou para serem informados sobre a guerra de sucessão.","['Erigeron', 'Bill e Kurapika', 'que', 'O poder corrompe.', 'Associação de Caçadores', 'Comitê', 'Presidente', 'Vice presidente', 'zodíacos', 'Examinadores']",https://static.wikia.nocookie.net/hunterxhunter/images/4/49/Nen_Beasts.png/revision/latest?cb=20210828202139
